link_producto,producto,asin,precio,precio_original,vendidos_mes_pasado,calificación,num_de_calificaciones,imagen,vendidos_numerico
https://www.amazon.com/-/es/sspa/click?ie=UTF8&spc=MTo0MjQ2OTU0OTU4NTI0MjA5OjE3MjU4NzUxNjc6c3BfYXRmOjMwMDM4MDM4MTc4NzUwMjo6MDo6&url=%2Fpigipigi-Actividad-art%25C3%25ADstica-para-ni%25C3%25B1os%2Fdp%2FB0CTF6P29W%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.JRbAVLh7BQQnxo6-ftStugGyQBDgUoCdS4B8jmndzVFvvgnUZ7px4VO8h_osmETe9VK8wLbh_ZGgIP_zBRe5FKpLmZqCYqkNMJSGzvzJn9ckmX8Wwuewb8NoyT3ntDtnSSXZ3QRHDw8hYwP394LypuGGxxYGxkG8SS0k5VLPABgmECHbO7Foq0fwrDQqgA9vyljs4Ox-KOj5q1pP8e4s2rMdJWPB8VA7qm-pnG_nLwRlzNREb8gl45yDF4HT4sJOs7fpbLpcu4mA7mwvL1p81WHV__gydwdPU4-Sf27e1Bo.tHr0kowf5pOO7Fm3_DyuMFSD_Ggf5TBqZlAxOBFWA3c%26dib_tag%3Dse%26keywords%3DArte%2By%2Bartesan%25C3%25ADas%26qid%3D1725875167%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"pigipigi Actividad artística para niños: divertido kit de juguetes de bricolaje de princesa y unicornio, juego de suministros de viaje creativo sin ensuciar, idea de cumpleaños, Navidad, regalo de San",B0CTF6P29W,16.99,Sin información,1 K+ comprados el mes pasado,4.3,154,https://m.media-amazon.com/images/I/815sxlojxbL._AC_UL320_.jpg,1000.0
https://www.amazon.com/-/es/sspa/click?ie=UTF8&spc=MTo0MjQ2OTU0OTU4NTI0MjA5OjE3MjU4NzUxNjc6c3BfYXRmOjIwMDE1MTUzODk5ODM5ODo6MDo6&url=%2Fbol%25C3%25ADgrafos-precisi%25C3%25B3n-multiliner-caligraf%25C3%25ADa-suministros%2Fdp%2FB0BD3TJ3BW%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.JRbAVLh7BQQnxo6-ftStugGyQBDgUoCdS4B8jmndzVFvvgnUZ7px4VO8h_osmETe9VK8wLbh_ZGgIP_zBRe5FKpLmZqCYqkNMJSGzvzJn9ckmX8Wwuewb8NoyT3ntDtnSSXZ3QRHDw8hYwP394LypuGGxxYGxkG8SS0k5VLPABgmECHbO7Foq0fwrDQqgA9vyljs4Ox-KOj5q1pP8e4s2rMdJWPB8VA7qm-pnG_nLwRlzNREb8gl45yDF4HT4sJOs7fpbLpcu4mA7mwvL1p81WHV__gydwdPU4-Sf27e1Bo.tHr0kowf5pOO7Fm3_DyuMFSD_Ggf5TBqZlAxOBFWA3c%26dib_tag%3Dse%26keywords%3DArte%2By%2Bartesan%25C3%25ADas%26qid%3D1725875167%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Paquete de 12 bolígrafos de dibujo, bolígrafos de arte, bolígrafos de anime, bolígrafos de precisión multiliner, bolígrafos de tinta, bolígrafos de caligrafía, bolígrafos de diseño, suministros",B0BD3TJ3BW,7.99,Sin información,200+ comprados el mes pasado,4.4,435,https://m.media-amazon.com/images/I/81+MFcuQl8L._AC_UL320_.jpg,200.0
https://www.amazon.com/-/es/sspa/click?ie=UTF8&spc=MTo0MjQ2OTU0OTU4NTI0MjA5OjE3MjU4NzUxNjc6c3BfYXRmOjMwMDM3ODcxNjk2MzIwMjo6MDo6&url=%2Fmanualidades-decoraci%25C3%25B3n-Halloween-fabricaci%25C3%25B3n-cumplea%25C3%25B1os%2Fdp%2FB0D56YTVG7%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.JRbAVLh7BQQnxo6-ftStugGyQBDgUoCdS4B8jmndzVFvvgnUZ7px4VO8h_osmETe9VK8wLbh_ZGgIP_zBRe5FKpLmZqCYqkNMJSGzvzJn9ckmX8Wwuewb8NoyT3ntDtnSSXZ3QRHDw8hYwP394LypuGGxxYGxkG8SS0k5VLPABgmECHbO7Foq0fwrDQqgA9vyljs4Ox-KOj5q1pP8e4s2rMdJWPB8VA7qm-pnG_nLwRlzNREb8gl45yDF4HT4sJOs7fpbLpcu4mA7mwvL1p81WHV__gydwdPU4-Sf27e1Bo.tHr0kowf5pOO7Fm3_DyuMFSD_Ggf5TBqZlAxOBFWA3c%26dib_tag%3Dse%26keywords%3DArte%2By%2Bartesan%25C3%25ADas%26qid%3D1725875167%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Dioju Kit de poción mágica para niños, kits de arte y manualidades con 20 botellas de pociones, decoración de Halloween, kit de fabricación de pociones de Navidad, regalos de cumpleaños, juguetes para",B0D56YTVG7,15.97,Sin información,50+ comprados el mes pasado,4.6,30,https://m.media-amazon.com/images/I/81XjpkJKQRL._AC_UL320_.jpg,50.0
https://www.amazon.com/-/es/sspa/click?ie=UTF8&spc=MTo0MjQ2OTU0OTU4NTI0MjA5OjE3MjU4NzUxNjc6c3BfYXRmOjMwMDIxNDcwMzY5MTkwMjo6MDo6&url=%2FKit-pintura-Stepping-manualidades-unicornio%2Fdp%2FB0D483NDFH%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.JRbAVLh7BQQnxo6-ftStugGyQBDgUoCdS4B8jmndzVFvvgnUZ7px4VO8h_osmETe9VK8wLbh_ZGgIP_zBRe5FKpLmZqCYqkNMJSGzvzJn9ckmX8Wwuewb8NoyT3ntDtnSSXZ3QRHDw8hYwP394LypuGGxxYGxkG8SS0k5VLPABgmECHbO7Foq0fwrDQqgA9vyljs4Ox-KOj5q1pP8e4s2rMdJWPB8VA7qm-pnG_nLwRlzNREb8gl45yDF4HT4sJOs7fpbLpcu4mA7mwvL1p81WHV__gydwdPU4-Sf27e1Bo.tHr0kowf5pOO7Fm3_DyuMFSD_Ggf5TBqZlAxOBFWA3c%26dib_tag%3Dse%26keywords%3DArte%2By%2Bartesan%25C3%25ADas%26qid%3D1725875167%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Kit de pintura Stepping Stones para niños, manualidades al aire libre, pintura de 5 piedras de jardín, kits de manualidades de unicornio para niños, niñas de 6 a 12 años, regalos para niños, niñas de",B0D483NDFH,23.99,Sin información,1 K+ comprados el mes pasado,4.9,87,https://m.media-amazon.com/images/I/91-C6cUje+L._AC_UL320_.jpg,1000.0
https://www.amazon.com/-/es/Dan-Darci-B%C3%B3veda-artes-manualidades/dp/B08H4SG94J/ref=sr_1_5?dib=eyJ2IjoiMSJ9.JRbAVLh7BQQnxo6-ftStugGyQBDgUoCdS4B8jmndzVFvvgnUZ7px4VO8h_osmETe9VK8wLbh_ZGgIP_zBRe5FKpLmZqCYqkNMJSGzvzJn9ckmX8Wwuewb8NoyT3ntDtnSSXZ3QRHDw8hYwP394LypuGGxxYGxkG8SS0k5VLPABgmECHbO7Foq0fwrDQqgA9vyljs4Ox-KOj5q1pP8e4s2rMdJWPB8VA7qm-pnG_nLwRlzNREb8gl45yDF4HT4sJOs7fpbLpcu4mA7mwvL1p81WHV__gydwdPU4-Sf27e1Bo.tHr0kowf5pOO7Fm3_DyuMFSD_Ggf5TBqZlAxOBFWA3c&dib_tag=se&keywords=Arte+y+artesan%C3%ADas&qid=1725875167&sr=8-5,Dan&Darci Bóveda de artes y manualidades – Kit de suministros de manualidades en una caja para niños de 4 5 6 7 8 9 10 11 y 12 años de edad – Kits de manualidades – Ideas de regalo de Pascua para,B08H4SG94J,,Sin información,1 K+ comprados el mes pasado,4.8,4345,https://m.media-amazon.com/images/I/81Y86A3IpkL._AC_UL320_.jpg,1000.0
https://www.amazon.com/-/es/JOYIN-Kit-pintura-roca-manualidades/dp/B08HD89CX6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.JRbAVLh7BQQnxo6-ftStugGyQBDgUoCdS4B8jmndzVFvvgnUZ7px4VO8h_osmETe9VK8wLbh_ZGgIP_zBRe5FKpLmZqCYqkNMJSGzvzJn9ckmX8Wwuewb8NoyT3ntDtnSSXZ3QRHDw8hYwP394LypuGGxxYGxkG8SS0k5VLPABgmECHbO7Foq0fwrDQqgA9vyljs4Ox-KOj5q1pP8e4s2rMdJWPB8VA7qm-pnG_nLwRlzNREb8gl45yDF4HT4sJOs7fpbLpcu4mA7mwvL1p81WHV__gydwdPU4-Sf27e1Bo.tHr0kowf5pOO7Fm3_DyuMFSD_Ggf5TBqZlAxOBFWA3c&dib_tag=se&keywords=Arte+y+artesan%C3%ADas&qid=1725875167&sr=8-6,"JOYIN Kit de pintura de roca: kit de roca que brilla en la oscuridad, artes y manualidades para niños de 6 a 12 años, suministros de arte, kits de pintura para niños, juguete de manualidades para",B08HD89CX6,14.99,Sin información,10 K+ comprados el mes pasado,4.5,4195,https://m.media-amazon.com/images/I/81BWUHiqKPL._AC_UL320_.jpg,10000.0
https://www.amazon.com/-/es/nocturna-manualidades-actividades-escolares-cumplea%C3%B1os/dp/B0CN6YJSBQ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.JRbAVLh7BQQnxo6-ftStugGyQBDgUoCdS4B8jmndzVFvvgnUZ7px4VO8h_osmETe9VK8wLbh_ZGgIP_zBRe5FKpLmZqCYqkNMJSGzvzJn9ckmX8Wwuewb8NoyT3ntDtnSSXZ3QRHDw8hYwP394LypuGGxxYGxkG8SS0k5VLPABgmECHbO7Foq0fwrDQqgA9vyljs4Ox-KOj5q1pP8e4s2rMdJWPB8VA7qm-pnG_nLwRlzNREb8gl45yDF4HT4sJOs7fpbLpcu4mA7mwvL1p81WHV__gydwdPU4-Sf27e1Bo.tHr0kowf5pOO7Fm3_DyuMFSD_Ggf5TBqZlAxOBFWA3c&dib_tag=se&keywords=Arte+y+artesan%C3%ADas&qid=1725875167&sr=8-7,"Klever Kits Luz nocturna de luna 3D, kit de lámpara de luna para pintar tu propia lámpara de luna, kit de arte y manualidades, actividades escolares, regalos de cumpleaños para niños y niñas",B0CN6YJSBQ,19.99,Sin información,2 K+ comprados el mes pasado,4.7,91,https://m.media-amazon.com/images/I/91AdqQriesL._AC_UL320_.jpg,2000.0
https://www.amazon.com/-/es/Suministros-paquete-manualidades-colorear-creativa/dp/B08JCD4PS6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.JRbAVLh7BQQnxo6-ftStugGyQBDgUoCdS4B8jmndzVFvvgnUZ7px4VO8h_osmETe9VK8wLbh_ZGgIP_zBRe5FKpLmZqCYqkNMJSGzvzJn9ckmX8Wwuewb8NoyT3ntDtnSSXZ3QRHDw8hYwP394LypuGGxxYGxkG8SS0k5VLPABgmECHbO7Foq0fwrDQqgA9vyljs4Ox-KOj5q1pP8e4s2rMdJWPB8VA7qm-pnG_nLwRlzNREb8gl45yDF4HT4sJOs7fpbLpcu4mA7mwvL1p81WHV__gydwdPU4-Sf27e1Bo.tHr0kowf5pOO7Fm3_DyuMFSD_Ggf5TBqZlAxOBFWA3c&dib_tag=se&keywords=Arte+y+artesan%C3%ADas&qid=1725875167&sr=8-8,"iBayam Suministros de arte, paquete de 150 piezas de arte de madera de lujo, kit de pintura para manualidades, 1 libro para colorear, 2 blocs de bocetos, caja de regalo creativa para adultos,",B08JCD4PS6,32.99,Sin información,1 K+ comprados el mes pasado,4.6,6744,https://m.media-amazon.com/images/I/91SaR78HtOS._AC_UL320_.jpg,1000.0
https://www.amazon.com/-/es/escultura-suministros-manualidades-escolares-Exclusivo/dp/B089T7PX27/ref=sr_1_9?dib=eyJ2IjoiMSJ9.JRbAVLh7BQQnxo6-ftStugGyQBDgUoCdS4B8jmndzVFvvgnUZ7px4VO8h_osmETe9VK8wLbh_ZGgIP_zBRe5FKpLmZqCYqkNMJSGzvzJn9ckmX8Wwuewb8NoyT3ntDtnSSXZ3QRHDw8hYwP394LypuGGxxYGxkG8SS0k5VLPABgmECHbO7Foq0fwrDQqgA9vyljs4Ox-KOj5q1pP8e4s2rMdJWPB8VA7qm-pnG_nLwRlzNREb8gl45yDF4HT4sJOs7fpbLpcu4mA7mwvL1p81WHV__gydwdPU4-Sf27e1Bo.tHr0kowf5pOO7Fm3_DyuMFSD_Ggf5TBqZlAxOBFWA3c&dib_tag=se&keywords=Arte+y+artesan%C3%ADas&qid=1725875167&sr=8-9,"Crayola Arcilla seca al aire (5 libras), arcilla de modelado blanca natural para niños, material de escultura, suministros de manualidades a granel para aulas escolares [Exclusivo de Amazon]",B089T7PX27,10.62,Sin información,30 K+ comprados el mes pasado,4.6,17690,https://m.media-amazon.com/images/I/61orX92CK8L._AC_UL320_.jpg,30000.0
https://www.amazon.com/-/es/carreras-construye-manualidades-f%C3%A1ciles-cumplea%C3%B1os/dp/B0CC797P1S/ref=sr_1_10?dib=eyJ2IjoiMSJ9.JRbAVLh7BQQnxo6-ftStugGyQBDgUoCdS4B8jmndzVFvvgnUZ7px4VO8h_osmETe9VK8wLbh_ZGgIP_zBRe5FKpLmZqCYqkNMJSGzvzJn9ckmX8Wwuewb8NoyT3ntDtnSSXZ3QRHDw8hYwP394LypuGGxxYGxkG8SS0k5VLPABgmECHbO7Foq0fwrDQqgA9vyljs4Ox-KOj5q1pP8e4s2rMdJWPB8VA7qm-pnG_nLwRlzNREb8gl45yDF4HT4sJOs7fpbLpcu4mA7mwvL1p81WHV__gydwdPU4-Sf27e1Bo.tHr0kowf5pOO7Fm3_DyuMFSD_Ggf5TBqZlAxOBFWA3c&dib_tag=se&keywords=Arte+y+artesan%C3%ADas&qid=1725875167&sr=8-10,"Klever Kits 4 autos de carreras de madera DIY, construye y pinta tu propio kit de manualidades de madera, 4 autos de carreras, kit de manualidades fáciles de montar, regalos de fiesta de cumpleaños",B0CC797P1S,19.99,Sin información,1 K+ comprados el mes pasado,4.4,199,https://m.media-amazon.com/images/I/81s32bM66dL._AC_UL320_.jpg,1000.0
