link_producto,producto,asin,precio,precio_original,vendidos_mes_pasado,calificación,num_de_calificaciones,imagen,vendidos_numerico
https://www.amazon.com/-/es/Computadora-port%C3%A1til-almacenamiento-microborde-Microsoft/dp/B0947BJ67M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.0S0CzbnLxwZ4_dDSN987lh_3iK0el56Ac5f73RmAKJ2g3OzPRpJ4_gfmZ_SEfXfWGczktgBhVAwsNwDwmKcIQ1t6-erx1xtEF_GFXlhCeLVZs6MJAA6MUSqQZCNUDWufeoeNmL2ZVwNAcFYUdaFvU0KsKhwNopxy8EdxrMpFEY2_a3W7_l6cduC59AYx7QBpEKjc1rmU-MpNiTcbUiJRbF04k78OudmQ_PwdiPkPBY0.BURzMAdEIBgcXRww_8Jo6wubfXvmXkUASe0GVwdE9gk&dib_tag=se&keywords=Computadoras&qid=1725875937&sr=8-1,"HP Computadora portátil 14, Intel Celeron N4020, 4 GB de RAM, 64 GB de almacenamiento, pantalla HD de microborde de 14 pulgadas, Windows 11 Home, delgada y portátil, gráficos 4K, un año de Microsoft",B0947BJ67M,183.49,Sin información,4 K+ comprados el mes pasado,3.9,1661,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,4000.0
https://www.amazon.com/-/es/Dell-Inspiron-3000-3520-Computadora/dp/B0CC936WF1/ref=sr_1_2?dib=eyJ2IjoiMSJ9.0S0CzbnLxwZ4_dDSN987lh_3iK0el56Ac5f73RmAKJ2g3OzPRpJ4_gfmZ_SEfXfWGczktgBhVAwsNwDwmKcIQ1t6-erx1xtEF_GFXlhCeLVZs6MJAA6MUSqQZCNUDWufeoeNmL2ZVwNAcFYUdaFvU0KsKhwNopxy8EdxrMpFEY2_a3W7_l6cduC59AYx7QBpEKjc1rmU-MpNiTcbUiJRbF04k78OudmQ_PwdiPkPBY0.BURzMAdEIBgcXRww_8Jo6wubfXvmXkUASe0GVwdE9gk&dib_tag=se&keywords=Computadoras&qid=1725875937&sr=8-2,"Dell Inspiron 15 3000 3520 - Computadora portátil empresarial [Windows 11 Pro], pantalla táctil FHD de 15.6 pulgadas, Intel Quad-Core i5-1135G7 de 11ª generación, 16 GB de RAM, SSD PCIe de 1 TB,",B0CC936WF1,494.94,Sin información,1 K+ comprados el mes pasado,4.2,126,https://m.media-amazon.com/images/I/71gbrvRJI-L._AC_UY218_.jpg,1000.0
https://www.amazon.com/-/es/Port%C3%A1til-port%C3%A1til-estudiante-empresarial-Quad-Core/dp/B0CPKS65P5/ref=sr_1_3?dib=eyJ2IjoiMSJ9.0S0CzbnLxwZ4_dDSN987lh_3iK0el56Ac5f73RmAKJ2g3OzPRpJ4_gfmZ_SEfXfWGczktgBhVAwsNwDwmKcIQ1t6-erx1xtEF_GFXlhCeLVZs6MJAA6MUSqQZCNUDWufeoeNmL2ZVwNAcFYUdaFvU0KsKhwNopxy8EdxrMpFEY2_a3W7_l6cduC59AYx7QBpEKjc1rmU-MpNiTcbUiJRbF04k78OudmQ_PwdiPkPBY0.BURzMAdEIBgcXRww_8Jo6wubfXvmXkUASe0GVwdE9gk&dib_tag=se&keywords=Computadoras&qid=1725875937&sr=8-3,"HP Portátil portátil, estudiante y empresarial, pantalla HD de 14"", Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 año Office 365, cámara web, RJ-45, HDMI, Wi-Fi, Windows 11 Home, plata",B0CPKS65P5,227.99,Sin información,1 K+ comprados el mes pasado,4.1,1410,https://m.media-amazon.com/images/I/61IpRGnny7L._AC_UY218_.jpg,1000.0
https://www.amazon.com/-/es/OptiPlex-computadora-escritorio-procesador-auriculares/dp/B0BLQNXY8B/ref=sr_1_4?dib=eyJ2IjoiMSJ9.0S0CzbnLxwZ4_dDSN987lh_3iK0el56Ac5f73RmAKJ2g3OzPRpJ4_gfmZ_SEfXfWGczktgBhVAwsNwDwmKcIQ1t6-erx1xtEF_GFXlhCeLVZs6MJAA6MUSqQZCNUDWufeoeNmL2ZVwNAcFYUdaFvU0KsKhwNopxy8EdxrMpFEY2_a3W7_l6cduC59AYx7QBpEKjc1rmU-MpNiTcbUiJRbF04k78OudmQ_PwdiPkPBY0.BURzMAdEIBgcXRww_8Jo6wubfXvmXkUASe0GVwdE9gk&dib_tag=se&keywords=Computadoras&qid=1725875937&sr=8-4,"Dell OptiPlex PC de computadora RGB de escritorio, procesador Intel Core i7 de cuatro núcleos, 16 GB de RAM, SSD de 512 GB, monitor HDMI de 24 pulgadas, teclado y auriculares RGB, WiFi, Windows 10 Pro",B0BLQNXY8B,269.98,Sin información,200+ comprados el mes pasado,3.7,311,https://m.media-amazon.com/images/I/81EqXKkN85L._AC_UY218_.jpg,200.0
https://www.amazon.com/-/es/Lenovo-IdeaPad-privacidad-cancelaci%C3%B3n-inteligente/dp/B0CJB5N9BQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0S0CzbnLxwZ4_dDSN987lh_3iK0el56Ac5f73RmAKJ2g3OzPRpJ4_gfmZ_SEfXfWGczktgBhVAwsNwDwmKcIQ1t6-erx1xtEF_GFXlhCeLVZs6MJAA6MUSqQZCNUDWufeoeNmL2ZVwNAcFYUdaFvU0KsKhwNopxy8EdxrMpFEY2_a3W7_l6cduC59AYx7QBpEKjc1rmU-MpNiTcbUiJRbF04k78OudmQ_PwdiPkPBY0.BURzMAdEIBgcXRww_8Jo6wubfXvmXkUASe0GVwdE9gk&dib_tag=se&keywords=Computadoras&qid=1725875937&sr=8-5,"Lenovo IdeaPad 1 - Laptop con pantalla FHD de 15.6 pulgadas, AMD Ryzen 5 5500U, 8 GB de RAM, SSD de 512 GB, Windows 11 Home, cámara de 720p con obturador de privacidad, cancelación inteligente de",B0CJB5N9BQ,304.99,Sin información,6 K+ comprados el mes pasado,4.4,422,https://m.media-amazon.com/images/I/51h3oOo7XnL._AC_UY218_.jpg,6000.0
https://www.amazon.com/-/es/HP-Stream-14-pulgadas-procesador-GB/dp/B08KSKH9MJ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0S0CzbnLxwZ4_dDSN987lh_3iK0el56Ac5f73RmAKJ2g3OzPRpJ4_gfmZ_SEfXfWGczktgBhVAwsNwDwmKcIQ1t6-erx1xtEF_GFXlhCeLVZs6MJAA6MUSqQZCNUDWufeoeNmL2ZVwNAcFYUdaFvU0KsKhwNopxy8EdxrMpFEY2_a3W7_l6cduC59AYx7QBpEKjc1rmU-MpNiTcbUiJRbF04k78OudmQ_PwdiPkPBY0.BURzMAdEIBgcXRww_8Jo6wubfXvmXkUASe0GVwdE9gk&dib_tag=se&keywords=Computadoras&qid=1725875937&sr=8-6,"HP Stream - Laptop con pantalla HD SVA de 14 pulgadas, procesador Intel Celeron N4000, 4 GB de RAM, eMMC de 64 GB, gráficos Intel UHD 600, Windows 10S, rosado, tarjeta USB SnowBell de 128 GB",B08KSKH9MJ,225.0,Sin información,50+ comprados el mes pasado,4.2,237,https://m.media-amazon.com/images/I/6164gAduugL._AC_UY218_.jpg,50.0
https://www.amazon.com/-/es/IdeaPad-port%C3%A1til-Celeron-almacenamiento-gr%C3%A1ficos/dp/B0CK66T68X/ref=sr_1_7?dib=eyJ2IjoiMSJ9.0S0CzbnLxwZ4_dDSN987lh_3iK0el56Ac5f73RmAKJ2g3OzPRpJ4_gfmZ_SEfXfWGczktgBhVAwsNwDwmKcIQ1t6-erx1xtEF_GFXlhCeLVZs6MJAA6MUSqQZCNUDWufeoeNmL2ZVwNAcFYUdaFvU0KsKhwNopxy8EdxrMpFEY2_a3W7_l6cduC59AYx7QBpEKjc1rmU-MpNiTcbUiJRbF04k78OudmQ_PwdiPkPBY0.BURzMAdEIBgcXRww_8Jo6wubfXvmXkUASe0GVwdE9gk&dib_tag=se&keywords=Computadoras&qid=1725875937&sr=8-7,"Lenovo IdeaPad 1 14 portátil, Intel Celeron N4020, 4 GB de RAM, 128 GB de almacenamiento (64 GB eMMC + 64 GB Micro SD), gráficos Intel UHD 600, Win 11 en modo S, gris nube",B0CK66T68X,,Sin información,100+ comprados el mes pasado,3.7,251,https://m.media-amazon.com/images/I/71bphKmt0DL._AC_UY218_.jpg,100.0
https://www.amazon.com/-/es/OptiPlex-escritorio-computadora-generaci%C3%B3n-pulgadas/dp/B09TN242Q5/ref=sr_1_8?dib=eyJ2IjoiMSJ9.0S0CzbnLxwZ4_dDSN987lh_3iK0el56Ac5f73RmAKJ2g3OzPRpJ4_gfmZ_SEfXfWGczktgBhVAwsNwDwmKcIQ1t6-erx1xtEF_GFXlhCeLVZs6MJAA6MUSqQZCNUDWufeoeNmL2ZVwNAcFYUdaFvU0KsKhwNopxy8EdxrMpFEY2_a3W7_l6cduC59AYx7QBpEKjc1rmU-MpNiTcbUiJRbF04k78OudmQ_PwdiPkPBY0.BURzMAdEIBgcXRww_8Jo6wubfXvmXkUASe0GVwdE9gk&dib_tag=se&keywords=Computadoras&qid=1725875937&sr=8-8,"Dell OptiPlex PC de escritorio para computadora, Intel Core i5 de 3ª generación de 3.2 GHz, 16 GB de RAM, disco duro de 2 TB, nuevo monitor LED de 22 pulgadas, teclado y mouse RGB, WiFi, Windows 10",B09TN242Q5,189.89,Sin información,500+ comprados el mes pasado,3.6,1952,https://m.media-amazon.com/images/I/91Fb+Pcxe-L._AC_UY218_.jpg,500.0
https://www.amazon.com/-/es/HP-Stream-BrightView-almacenamiento-acoplamiento/dp/B0CZL2SLCJ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.0S0CzbnLxwZ4_dDSN987lh_3iK0el56Ac5f73RmAKJ2g3OzPRpJ4_gfmZ_SEfXfWGczktgBhVAwsNwDwmKcIQ1t6-erx1xtEF_GFXlhCeLVZs6MJAA6MUSqQZCNUDWufeoeNmL2ZVwNAcFYUdaFvU0KsKhwNopxy8EdxrMpFEY2_a3W7_l6cduC59AYx7QBpEKjc1rmU-MpNiTcbUiJRbF04k78OudmQ_PwdiPkPBY0.BURzMAdEIBgcXRww_8Jo6wubfXvmXkUASe0GVwdE9gk&dib_tag=se&keywords=Computadoras&qid=1725875937&sr=8-9,"HP Stream - Laptop BrightView HD de 14 pulgadas, Intel Celeron N4120, 16 GB de RAM, 288 GB de almacenamiento (128 GB eMMC + 160 GB de estación de acoplamiento), gráficos Intel UHD, cámara web 720p,",B0CZL2SLCJ,309.0,Sin información,500+ comprados el mes pasado,4.4,1909,https://m.media-amazon.com/images/I/61QuxlKVZbL._AC_UY218_.jpg,500.0
https://www.amazon.com/-/es/Optiplex-7050-escritorio-compatible-Excelente/dp/B08X1KKVCZ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.0S0CzbnLxwZ4_dDSN987lh_3iK0el56Ac5f73RmAKJ2g3OzPRpJ4_gfmZ_SEfXfWGczktgBhVAwsNwDwmKcIQ1t6-erx1xtEF_GFXlhCeLVZs6MJAA6MUSqQZCNUDWufeoeNmL2ZVwNAcFYUdaFvU0KsKhwNopxy8EdxrMpFEY2_a3W7_l6cduC59AYx7QBpEKjc1rmU-MpNiTcbUiJRbF04k78OudmQ_PwdiPkPBY0.BURzMAdEIBgcXRww_8Jo6wubfXvmXkUASe0GVwdE9gk&dib_tag=se&keywords=Computadoras&qid=1725875937&sr=8-10,Dell Optiplex 7050 SFF PC de escritorio Intel i7-7700 4 núcleos 3.60GHz 32GB DDR4 1TB SSD WiFi BT HDMI Duel Monitor compatible con Windows 10 Pro Excelente estado (renovado),B08X1KKVCZ,238.99,Sin información,2 K+ comprados el mes pasado,4.0,1812,https://m.media-amazon.com/images/I/61FVIijQp2L._AC_UY218_.jpg,2000.0
