link_producto,producto,asin,precio,precio_original,vendidos_mes_pasado,calificación,num_de_calificaciones,imagen,vendidos_numerico
https://www.amazon.com/-/es/Cargador-retr%C3%A1ctil-autom%C3%B3vil-adaptador-compatible/dp/B0D4215HCX/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ZvwoN-i8FFuSi3WgF40HuSZL8PLTBLGBQaE8OUlPfTQWDuWf8JSJeeZURhzbua5r8TWYmjjwXTDhWla4WR88RGlSkHxgOtcknldyWVq6o-AvyvTwGSvnLhbPAt0ux7PRoJV8-g2RmR5hc-7QCSNycuuIW1vmgixaU5u9ZVU2sgBx7XPEhW9nYOlQ08Y_GFl6tNS9mm9sa6Vq7ArRXXooU2ErhEslw58m5OAas7blV_E.Mi-m3PKb1c0PxCVJVpFa0xPmlzlUAYCyZcnCL0b97Xo&dib_tag=se&keywords=Electr%C3%B3nicos&qid=1725876194&sr=8-1,"LISEN Cargador retráctil para automóvil [adaptador de cargador de coche USB de 69 W], teléfono de carga rápida 4 en 1, carga de teléfono retráctil para automóvil compatible con iPhone 15/14/13/12/11,",B0D4215HCX,19.99,Sin información,10 K+ comprados el mes pasado,4.5,200,https://m.media-amazon.com/images/I/71R6ka8Os4L._AC_UY218_.jpg,10000.0
https://www.amazon.com/-/es/comprimido-engranajes-soplador-inal%C3%A1mbrico-enlatados/dp/B0D5BDNR8R/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ZvwoN-i8FFuSi3WgF40HuSZL8PLTBLGBQaE8OUlPfTQWDuWf8JSJeeZURhzbua5r8TWYmjjwXTDhWla4WR88RGlSkHxgOtcknldyWVq6o-AvyvTwGSvnLhbPAt0ux7PRoJV8-g2RmR5hc-7QCSNycuuIW1vmgixaU5u9ZVU2sgBx7XPEhW9nYOlQ08Y_GFl6tNS9mm9sa6Vq7ArRXXooU2ErhEslw58m5OAas7blV_E.Mi-m3PKb1c0PxCVJVpFa0xPmlzlUAYCyZcnCL0b97Xo&dib_tag=se&keywords=Electr%C3%B3nicos&qid=1725876194&sr=8-2,"Plumero de aire comprimido, 3 engranajes a 100000 RPM, soplador de aire inalámbrico portátil con luz LED, para limpieza de teclado y PC, kit de limpieza de aire, sin plumeros de aire enlatados,",B0D5BDNR8R,29.98,Sin información,2 K+ comprados el mes pasado,4.6,236,https://m.media-amazon.com/images/I/719F4I7zVYL._AC_UY218_.jpg,2000.0
https://www.amazon.com/-/es/Computadora-port%C3%A1til-almacenamiento-microborde-Microsoft/dp/B0947BJ67M/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ZvwoN-i8FFuSi3WgF40HuSZL8PLTBLGBQaE8OUlPfTQWDuWf8JSJeeZURhzbua5r8TWYmjjwXTDhWla4WR88RGlSkHxgOtcknldyWVq6o-AvyvTwGSvnLhbPAt0ux7PRoJV8-g2RmR5hc-7QCSNycuuIW1vmgixaU5u9ZVU2sgBx7XPEhW9nYOlQ08Y_GFl6tNS9mm9sa6Vq7ArRXXooU2ErhEslw58m5OAas7blV_E.Mi-m3PKb1c0PxCVJVpFa0xPmlzlUAYCyZcnCL0b97Xo&dib_tag=se&keywords=Electr%C3%B3nicos&qid=1725876194&sr=8-3,"HP Computadora portátil 14, Intel Celeron N4020, 4 GB de RAM, 64 GB de almacenamiento, pantalla HD de microborde de 14 pulgadas, Windows 11 Home, delgada y portátil, gráficos 4K, un año de Microsoft",B0947BJ67M,183.49,Sin información,4 K+ comprados el mes pasado,3.9,1661,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,4000.0
https://www.amazon.com/-/es/exteriores-actualizado-compatible-inteligente-sincronizaci%C3%B3n/dp/B099N4NSSD/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ZvwoN-i8FFuSi3WgF40HuSZL8PLTBLGBQaE8OUlPfTQWDuWf8JSJeeZURhzbua5r8TWYmjjwXTDhWla4WR88RGlSkHxgOtcknldyWVq6o-AvyvTwGSvnLhbPAt0ux7PRoJV8-g2RmR5hc-7QCSNycuuIW1vmgixaU5u9ZVU2sgBx7XPEhW9nYOlQ08Y_GFl6tNS9mm9sa6Vq7ArRXXooU2ErhEslw58m5OAas7blV_E.Mi-m3PKb1c0PxCVJVpFa0xPmlzlUAYCyZcnCL0b97Xo&dib_tag=se&keywords=Electr%C3%B3nicos&qid=1725876194&sr=8-4,"Proyector con WiFi y Bluetooth, proyector para exteriores actualizado 2024, mini proyector de películas compatible con pantalla de teléfono inteligente de sincronización de 1080P por cable WiFi/USB",B099N4NSSD,89.99,Sin información,4 K+ comprados el mes pasado,4.3,4247,https://m.media-amazon.com/images/I/71bPcqUviTL._AC_UY218_.jpg,4000.0
https://www.amazon.com/-/es/Auriculares-auriculares-inmersivo-comodidad-conciencia/dp/B0CPFV77W4/ref=sr_1_5_mod_primary_new?dib=eyJ2IjoiMSJ9.ZvwoN-i8FFuSi3WgF40HuSZL8PLTBLGBQaE8OUlPfTQWDuWf8JSJeeZURhzbua5r8TWYmjjwXTDhWla4WR88RGlSkHxgOtcknldyWVq6o-AvyvTwGSvnLhbPAt0ux7PRoJV8-g2RmR5hc-7QCSNycuuIW1vmgixaU5u9ZVU2sgBx7XPEhW9nYOlQ08Y_GFl6tNS9mm9sa6Vq7ArRXXooU2ErhEslw58m5OAas7blV_E.Mi-m3PKb1c0PxCVJVpFa0xPmlzlUAYCyZcnCL0b97Xo&dib_tag=se&keywords=Electr%C3%B3nicos&qid=1725876194&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-5,"Bose Auriculares ultra abiertos, auriculares abiertos de audio inmersivo, auriculares con clip para mayor comodidad, auriculares para correr con OpenAudio para conciencia, hasta 48 horas de duración",B0CPFV77W4,299.0,Sin información,2 K+ comprados el mes pasado,3.9,1787,https://m.media-amazon.com/images/I/51LyCgwzz9L._AC_UY218_.jpg,2000.0
https://www.amazon.com/-/es/JBL-Tune-Flex-Auriculares-inal%C3%A1mbricos/dp/B0C1QNRGHC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ZvwoN-i8FFuSi3WgF40HuSZL8PLTBLGBQaE8OUlPfTQWDuWf8JSJeeZURhzbua5r8TWYmjjwXTDhWla4WR88RGlSkHxgOtcknldyWVq6o-AvyvTwGSvnLhbPAt0ux7PRoJV8-g2RmR5hc-7QCSNycuuIW1vmgixaU5u9ZVU2sgBx7XPEhW9nYOlQ08Y_GFl6tNS9mm9sa6Vq7ArRXXooU2ErhEslw58m5OAas7blV_E.Mi-m3PKb1c0PxCVJVpFa0xPmlzlUAYCyZcnCL0b97Xo&dib_tag=se&keywords=Electr%C3%B3nicos&qid=1725876194&sr=8-6,"JBL Tune Flex - Auriculares inalámbricos con cancelación de ruido (negro), pequeños",B0C1QNRGHC,49.95,Sin información,10 K+ comprados el mes pasado,4.1,5119,https://m.media-amazon.com/images/I/61joErBxERL._AC_UY218_.jpg,10000.0
https://www.amazon.com/-/es/Skylight-Calendario-inteligente-interactiva-familiares/dp/B0C9V811L6/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ZvwoN-i8FFuSi3WgF40HuSZL8PLTBLGBQaE8OUlPfTQWDuWf8JSJeeZURhzbua5r8TWYmjjwXTDhWla4WR88RGlSkHxgOtcknldyWVq6o-AvyvTwGSvnLhbPAt0ux7PRoJV8-g2RmR5hc-7QCSNycuuIW1vmgixaU5u9ZVU2sgBx7XPEhW9nYOlQ08Y_GFl6tNS9mm9sa6Vq7ArRXXooU2ErhEslw58m5OAas7blV_E.Mi-m3PKb1c0PxCVJVpFa0xPmlzlUAYCyZcnCL0b97Xo&dib_tag=se&keywords=Electr%C3%B3nicos&qid=1725876194&sr=8-7,"Skylight Calendario: Calendario digital de 15 pulgadas y gráfico de tareas, pantalla táctil inteligente interactiva para horarios familiares - montaje en pared incluido",B0C9V811L6,309.98,Sin información,10 K+ comprados el mes pasado,4.4,948,https://m.media-amazon.com/images/I/61kdlvrgoUL._AC_UY218_.jpg,10000.0
https://www.amazon.com/-/es/muscular-masajeador-el%C3%A9ctrico-dispositivo-percusi%C3%B3n/dp/B09P1DV7D8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ZvwoN-i8FFuSi3WgF40HuSZL8PLTBLGBQaE8OUlPfTQWDuWf8JSJeeZURhzbua5r8TWYmjjwXTDhWla4WR88RGlSkHxgOtcknldyWVq6o-AvyvTwGSvnLhbPAt0ux7PRoJV8-g2RmR5hc-7QCSNycuuIW1vmgixaU5u9ZVU2sgBx7XPEhW9nYOlQ08Y_GFl6tNS9mm9sa6Vq7ArRXXooU2ErhEslw58m5OAas7blV_E.Mi-m3PKb1c0PxCVJVpFa0xPmlzlUAYCyZcnCL0b97Xo&dib_tag=se&keywords=Electr%C3%B3nicos&qid=1725876194&sr=8-8,"Pistola de masaje, pistola de masaje muscular para atletas, masajeador eléctrico de espalda de tejido profundo, dispositivo de masaje de percusión para aliviar el dolor con 30 niveles de",B09P1DV7D8,29.99,Sin información,5 K+ comprados el mes pasado,4.4,11132,https://m.media-amazon.com/images/I/712UHB03CbL._AC_UY218_.jpg,5000.0
https://www.amazon.com/-/es/Alesis-Nitro-Max-Kit-almohadillas/dp/B0C43R8SRB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ZvwoN-i8FFuSi3WgF40HuSZL8PLTBLGBQaE8OUlPfTQWDuWf8JSJeeZURhzbua5r8TWYmjjwXTDhWla4WR88RGlSkHxgOtcknldyWVq6o-AvyvTwGSvnLhbPAt0ux7PRoJV8-g2RmR5hc-7QCSNycuuIW1vmgixaU5u9ZVU2sgBx7XPEhW9nYOlQ08Y_GFl6tNS9mm9sa6Vq7ArRXXooU2ErhEslw58m5OAas7blV_E.Mi-m3PKb1c0PxCVJVpFa0xPmlzlUAYCyZcnCL0b97Xo&dib_tag=se&keywords=Electr%C3%B3nicos&qid=1725876194&sr=8-9,"Alesis Nitro Max Kit - Juego de batería eléctrica con almohadillas de malla silenciosas, caja de doble zona de 10 pulgadas, Bluetooth, más de 440 sonidos auténticos, Drumeo, USB MIDI, pedal de patada",B0C43R8SRB,399.0,Sin información,900+ comprados el mes pasado,4.5,678,https://m.media-amazon.com/images/I/71bYhi2A-nL._AC_UY218_.jpg,900.0
https://www.amazon.com/-/es/Cargador-paquete-unidades-cargador-compatible/dp/B0D5TW839Q/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ZvwoN-i8FFuSi3WgF40HuSZL8PLTBLGBQaE8OUlPfTQWDuWf8JSJeeZURhzbua5r8TWYmjjwXTDhWla4WR88RGlSkHxgOtcknldyWVq6o-AvyvTwGSvnLhbPAt0ux7PRoJV8-g2RmR5hc-7QCSNycuuIW1vmgixaU5u9ZVU2sgBx7XPEhW9nYOlQ08Y_GFl6tNS9mm9sa6Vq7ArRXXooU2ErhEslw58m5OAas7blV_E.Mi-m3PKb1c0PxCVJVpFa0xPmlzlUAYCyZcnCL0b97Xo&dib_tag=se&keywords=Electr%C3%B3nicos&qid=1725876194&sr=8-10,"Cargador USB C para iPhone, carga rápida, paquete de 3 unidades de 20 W, tipo C, cargador de pared con cable de carga USB C de 6 pies de largo, compatible con iPhone 14Pro/13 Pro/12/12 Pro Max/11/XS",B0D5TW839Q,12.99,Sin información,4 K+ comprados el mes pasado,4.5,505,https://m.media-amazon.com/images/I/51ktwFF4xXL._AC_UY218_.jpg,4000.0
