link_producto,producto,asin,precio,precio_original,vendidos_mes_pasado,calificación,num_de_calificaciones,imagen,vendidos_numerico
https://www.amazon.com/-/es/Amazon-Basics-protectores-absorci%C3%B3n-entrenamiento/dp/B00MW8G62E/ref=sr_1_1?dib=eyJ2IjoiMSJ9.i5Rkgb7E3lvpf1KaL09nuCbpj4dUTN8Tl9OC4hJBb-mE1EK0UEfZj-BAyppm2LAD06M2LuhnaCM5VPsXg2a7xd1IQLTeigi0gqitzXMUnoSNeq2omtc2Lozep28dcbNFnBWLpvx5IT8cs5x4IXKYkl3Qr7hHuKq0B5JqZ2MohZtg8bKeq6Ohy3IB351yWkNqRjLBLPRdISnIwUUPrMtSDKRt-rwmLVMGVmfwzYDCI3DjrJcRACz3zlFqwgwVgvLdSKfxjnszgcVtB3SzHH_KITtkdRlm5-w3L0OmyeKSFnI.YYk38GEithGwz6qKtZaSQ49wbuiOOy7OPuZqHqv9kOE&dib_tag=se&keywords=Insumos+para+mascotas&qid=1725878132&sr=8-1,"Amazon Basics - Paneles protectores para absorción estándar de orina para perros y cachorros, secado rápido a prueba de fugas para entrenamiento, tamaño regular 22 x 22 pulgadas, 100 unidades",B00MW8G62E,22.85,Sin información,40 K+ comprados el mes pasado,4.5,240816,https://m.media-amazon.com/images/I/71LHksRF15L._AC_UL320_.jpg,40000.0
https://www.amazon.com/-/es/Supplies-excremento-limpieza-residuos-desgarros/dp/B09ZLSR8PH/ref=sr_1_2?dib=eyJ2IjoiMSJ9.i5Rkgb7E3lvpf1KaL09nuCbpj4dUTN8Tl9OC4hJBb-mE1EK0UEfZj-BAyppm2LAD06M2LuhnaCM5VPsXg2a7xd1IQLTeigi0gqitzXMUnoSNeq2omtc2Lozep28dcbNFnBWLpvx5IT8cs5x4IXKYkl3Qr7hHuKq0B5JqZ2MohZtg8bKeq6Ohy3IB351yWkNqRjLBLPRdISnIwUUPrMtSDKRt-rwmLVMGVmfwzYDCI3DjrJcRACz3zlFqwgwVgvLdSKfxjnszgcVtB3SzHH_KITtkdRlm5-w3L0OmyeKSFnI.YYk38GEithGwz6qKtZaSQ49wbuiOOy7OPuZqHqv9kOE&dib_tag=se&keywords=Insumos+para+mascotas&qid=1725878132&sr=8-2,"Best Pet Supplies Bolsas para excremento de perro (150 bolsas), limpieza de residuos, rollos de repuesto para perros al aire libre, paseos y viajes, a prueba de fugas y desgarros, plástico grueso,",B09ZLSR8PH,6.99,Sin información,8 K+ comprados el mes pasado,4.8,45913,https://m.media-amazon.com/images/I/71VS+j2jAZL._AC_UL320_.jpg,8000.0
https://www.amazon.com/-/es/ganancia-fresco-libras-avanzada-aglutinante/dp/B089PM6FRC/ref=sr_1_3?dib=eyJ2IjoiMSJ9.i5Rkgb7E3lvpf1KaL09nuCbpj4dUTN8Tl9OC4hJBb-mE1EK0UEfZj-BAyppm2LAD06M2LuhnaCM5VPsXg2a7xd1IQLTeigi0gqitzXMUnoSNeq2omtc2Lozep28dcbNFnBWLpvx5IT8cs5x4IXKYkl3Qr7hHuKq0B5JqZ2MohZtg8bKeq6Ohy3IB351yWkNqRjLBLPRdISnIwUUPrMtSDKRt-rwmLVMGVmfwzYDCI3DjrJcRACz3zlFqwgwVgvLdSKfxjnszgcVtB3SzHH_KITtkdRlm5-w3L0OmyeKSFnI.YYk38GEithGwz6qKtZaSQ49wbuiOOy7OPuZqHqv9kOE&dib_tag=se&keywords=Insumos+para+mascotas&qid=1725878132&sr=8-3,"Aroma de ganancia de paso fresco, 37 libras en total, arena avanzada para gatos, arena para gatos aglutinante",B089PM6FRC,23.5,Sin información,50 K+ comprados el mes pasado,4.7,27473,https://m.media-amazon.com/images/I/81mhqp8wyCL._AC_UL320_.jpg,50000.0
https://www.amazon.com/-/es/Supplies-arrugado-chirriador-divertido-cachorros/dp/B09BBM5CX8/ref=sr_1_4?dib=eyJ2IjoiMSJ9.i5Rkgb7E3lvpf1KaL09nuCbpj4dUTN8Tl9OC4hJBb-mE1EK0UEfZj-BAyppm2LAD06M2LuhnaCM5VPsXg2a7xd1IQLTeigi0gqitzXMUnoSNeq2omtc2Lozep28dcbNFnBWLpvx5IT8cs5x4IXKYkl3Qr7hHuKq0B5JqZ2MohZtg8bKeq6Ohy3IB351yWkNqRjLBLPRdISnIwUUPrMtSDKRt-rwmLVMGVmfwzYDCI3DjrJcRACz3zlFqwgwVgvLdSKfxjnszgcVtB3SzHH_KITtkdRlm5-w3L0OmyeKSFnI.YYk38GEithGwz6qKtZaSQ49wbuiOOy7OPuZqHqv9kOE&dib_tag=se&keywords=Insumos+para+mascotas&qid=1725878132&sr=8-4,"Best Pet Supplies Juguete arrugado para perros para razas pequeñas, medianas y grandes, lindo pato sin relleno con chirriador suave, divertido para cachorros de interior y cachorros mayores, felpa sin",B09BBM5CX8,5.99,Sin información,30 K+ comprados el mes pasado,4.4,29082,https://m.media-amazon.com/images/I/61iLNIUwPnL._AC_UL320_.jpg,30000.0
https://www.amazon.com/-/es/autolimpiante-herramienta-desprenden-accesorios-suministros/dp/B0CLLPVZRV/ref=sr_1_5?dib=eyJ2IjoiMSJ9.i5Rkgb7E3lvpf1KaL09nuCbpj4dUTN8Tl9OC4hJBb-mE1EK0UEfZj-BAyppm2LAD06M2LuhnaCM5VPsXg2a7xd1IQLTeigi0gqitzXMUnoSNeq2omtc2Lozep28dcbNFnBWLpvx5IT8cs5x4IXKYkl3Qr7hHuKq0B5JqZ2MohZtg8bKeq6Ohy3IB351yWkNqRjLBLPRdISnIwUUPrMtSDKRt-rwmLVMGVmfwzYDCI3DjrJcRACz3zlFqwgwVgvLdSKfxjnszgcVtB3SzHH_KITtkdRlm5-w3L0OmyeKSFnI.YYk38GEithGwz6qKtZaSQ49wbuiOOy7OPuZqHqv9kOE&dib_tag=se&keywords=Insumos+para+mascotas&qid=1725878132&sr=8-5,"Swihauk Cepillo de limpieza autolimpiante, herramienta de aseo para perros y gatos, apta para mascotas que se desprenden y pelan, con accesorios para suministros para mascotas, color azul",B0CLLPVZRV,12.99,Sin información,10 K+ comprados el mes pasado,4.6,3690,https://m.media-amazon.com/images/I/61B-7qGE7eL._AC_UL320_.jpg,10000.0
https://www.amazon.com/-/es/mascotas-dispensador-autom%C3%A1tico-repuesto-m%C3%BAltiples/dp/B08NC54VZN/ref=sr_1_6?dib=eyJ2IjoiMSJ9.i5Rkgb7E3lvpf1KaL09nuCbpj4dUTN8Tl9OC4hJBb-mE1EK0UEfZj-BAyppm2LAD06M2LuhnaCM5VPsXg2a7xd1IQLTeigi0gqitzXMUnoSNeq2omtc2Lozep28dcbNFnBWLpvx5IT8cs5x4IXKYkl3Qr7hHuKq0B5JqZ2MohZtg8bKeq6Ohy3IB351yWkNqRjLBLPRdISnIwUUPrMtSDKRt-rwmLVMGVmfwzYDCI3DjrJcRACz3zlFqwgwVgvLdSKfxjnszgcVtB3SzHH_KITtkdRlm5-w3L0OmyeKSFnI.YYk38GEithGwz6qKtZaSQ49wbuiOOy7OPuZqHqv9kOE&dib_tag=se&keywords=Insumos+para+mascotas&qid=1725878132&sr=8-6,"Veken Fuente para mascotas de 95 onzas/2.8 L, dispensador automático de agua para perros con filtros de repuesto para gatos, perros, múltiples mascotas (azul, plástico)",B08NC54VZN,23.99,Sin información,10 K+ comprados el mes pasado,4.3,35586,https://m.media-amazon.com/images/I/612ejEOPrLL._AC_UL320_.jpg,10000.0
https://www.amazon.com/-/es/ortop%C3%A9dica-medianos-impermeable-mascotas-extra%C3%ADble/dp/B089QXMQXK/ref=sr_1_7?dib=eyJ2IjoiMSJ9.i5Rkgb7E3lvpf1KaL09nuCbpj4dUTN8Tl9OC4hJBb-mE1EK0UEfZj-BAyppm2LAD06M2LuhnaCM5VPsXg2a7xd1IQLTeigi0gqitzXMUnoSNeq2omtc2Lozep28dcbNFnBWLpvx5IT8cs5x4IXKYkl3Qr7hHuKq0B5JqZ2MohZtg8bKeq6Ohy3IB351yWkNqRjLBLPRdISnIwUUPrMtSDKRt-rwmLVMGVmfwzYDCI3DjrJcRACz3zlFqwgwVgvLdSKfxjnszgcVtB3SzHH_KITtkdRlm5-w3L0OmyeKSFnI.YYk38GEithGwz6qKtZaSQ49wbuiOOy7OPuZqHqv9kOE&dib_tag=se&keywords=Insumos+para+mascotas&qid=1725878132&sr=8-7,"Bedsure Cama ortopédica para perros medianos, sofá cama impermeable para perros, tamaño mediano, sofá cama de espuma de apoyo para mascotas con funda extraíble lavable, forro impermeable y parte",B089QXMQXK,39.99,Sin información,10 K+ comprados el mes pasado,4.6,41269,https://m.media-amazon.com/images/I/71UECqrKYNL._AC_UL320_.jpg,10000.0
https://www.amazon.com/-/es/alimentaci%C3%B3n-absorbente-dispensador-accesorios-suministros/dp/B0BX5ZT7FN/ref=sr_1_8?dib=eyJ2IjoiMSJ9.i5Rkgb7E3lvpf1KaL09nuCbpj4dUTN8Tl9OC4hJBb-mE1EK0UEfZj-BAyppm2LAD06M2LuhnaCM5VPsXg2a7xd1IQLTeigi0gqitzXMUnoSNeq2omtc2Lozep28dcbNFnBWLpvx5IT8cs5x4IXKYkl3Qr7hHuKq0B5JqZ2MohZtg8bKeq6Ohy3IB351yWkNqRjLBLPRdISnIwUUPrMtSDKRt-rwmLVMGVmfwzYDCI3DjrJcRACz3zlFqwgwVgvLdSKfxjnszgcVtB3SzHH_KITtkdRlm5-w3L0OmyeKSFnI.YYk38GEithGwz6qKtZaSQ49wbuiOOy7OPuZqHqv9kOE&dib_tag=se&keywords=Insumos+para+mascotas&qid=1725878132&sr=8-8,"Tapete de alimentación para mascotas, tapete absorbente para alimentos y agua, sin manchas, de secado rápido, dispensador de agua para perros, accesorios para perros, suministros para mascotas, cuenco",B0BX5ZT7FN,7.99,Sin información,9 K+ comprados el mes pasado,4.5,2817,https://m.media-amazon.com/images/I/81ioEquxUHL._AC_UL320_.jpg,9000.0
https://www.amazon.com/-/es/Amazon-Basics-levantar-dispensador-est%C3%A1ndar/dp/B00NABTGY2/ref=sr_1_9?dib=eyJ2IjoiMSJ9.i5Rkgb7E3lvpf1KaL09nuCbpj4dUTN8Tl9OC4hJBb-mE1EK0UEfZj-BAyppm2LAD06M2LuhnaCM5VPsXg2a7xd1IQLTeigi0gqitzXMUnoSNeq2omtc2Lozep28dcbNFnBWLpvx5IT8cs5x4IXKYkl3Qr7hHuKq0B5JqZ2MohZtg8bKeq6Ohy3IB351yWkNqRjLBLPRdISnIwUUPrMtSDKRt-rwmLVMGVmfwzYDCI3DjrJcRACz3zlFqwgwVgvLdSKfxjnszgcVtB3SzHH_KITtkdRlm5-w3L0OmyeKSFnI.YYk38GEithGwz6qKtZaSQ49wbuiOOy7OPuZqHqv9kOE&dib_tag=se&keywords=Insumos+para+mascotas&qid=1725878132&sr=8-9,"Amazon Basics - Bolsas sin olor para levantar caca de perros, con dispensador y clip para correa, aditivo estándar y EPI.",B00NABTGY2,16.0,Sin información,20 K+ comprados el mes pasado,4.8,205939,https://m.media-amazon.com/images/I/71pS4O3AJ6L._AC_UL320_.jpg,20000.0
https://www.amazon.com/-/es/Toallitas-perros-Hipoalerg%C3%A9nicas-desodorantes-Lavanda/dp/B07ZPMYYZF/ref=sr_1_10?dib=eyJ2IjoiMSJ9.i5Rkgb7E3lvpf1KaL09nuCbpj4dUTN8Tl9OC4hJBb-mE1EK0UEfZj-BAyppm2LAD06M2LuhnaCM5VPsXg2a7xd1IQLTeigi0gqitzXMUnoSNeq2omtc2Lozep28dcbNFnBWLpvx5IT8cs5x4IXKYkl3Qr7hHuKq0B5JqZ2MohZtg8bKeq6Ohy3IB351yWkNqRjLBLPRdISnIwUUPrMtSDKRt-rwmLVMGVmfwzYDCI3DjrJcRACz3zlFqwgwVgvLdSKfxjnszgcVtB3SzHH_KITtkdRlm5-w3L0OmyeKSFnI.YYk38GEithGwz6qKtZaSQ49wbuiOOy7OPuZqHqv9kOE&dib_tag=se&keywords=Insumos+para+mascotas&qid=1725878132&sr=8-10,"Toallitas de aseo para perros y gatos | Hipoalergénicas y desodorantes, Lavanda",B07ZPMYYZF,,Sin información,10 K+ comprados el mes pasado,4.6,9833,https://m.media-amazon.com/images/I/61fOaZEJyKL._AC_UL320_.jpg,10000.0
