link_producto,producto,asin,precio,precio_original,vendidos_mes_pasado,calificación,num_de_calificaciones,imagen,vendidos_numerico
https://www.amazon.com/-/es/ONE-FOUR-800-piezas-manualidades/dp/B09NBF3ZPJ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.GnNfrJdjcapoIHFDFfjRIBkvfvrasIcURZXM1Ez0-QRlhluslVhvun7Kr7qtDeRPI0gzeI1lW8NNr84qH9vccf2TM4Ic_D1mKeMXDKZBedmvjksLPr89yOB6ocbkdIG3N6ZD1rzZXL8Dsaar5gC1egexRJJRcNI4wu-q53TWnsWhf1noRTUbHOSMjaujunhDYGYchKyWt6N8r8wBB9pHsFSwY5-KI3RFkyV7J-HlNFOSp8jrIOqgmXofcSZee_AN73MbaPZJ9CkPzdepWrI4XZCV3dsA3GSs6xVYVwnfJdg._VDaPzA_QllaCV1MGJBYvZW6_6Ga1qjV70gVp4bqQLM&dib_tag=se&keywords=Moda+de+ni%C3%B1os&qid=1725878531&sr=8-1,ONE TO FOUR 800 piezas - Kit de diseño de moda para niñas con 5 maniquíes - Kit de manualidades - Kit de costura para niños de 8 a 12 años - Regalo para niñas de 6 7 8 9 10 11 12 años,B09NBF3ZPJ,22.98,Sin información,1 K+ comprados el mes pasado,4.6,1108,https://m.media-amazon.com/images/I/91pc5oytHZL._AC_UL320_.jpg,1000.0
https://www.amazon.com/-/es/actividad-Melissa-dise%C3%B1o-Platos-l%C3%A1pices/dp/B004PBLSQ0/ref=sr_1_2?dib=eyJ2IjoiMSJ9.GnNfrJdjcapoIHFDFfjRIBkvfvrasIcURZXM1Ez0-QRlhluslVhvun7Kr7qtDeRPI0gzeI1lW8NNr84qH9vccf2TM4Ic_D1mKeMXDKZBedmvjksLPr89yOB6ocbkdIG3N6ZD1rzZXL8Dsaar5gC1egexRJJRcNI4wu-q53TWnsWhf1noRTUbHOSMjaujunhDYGYchKyWt6N8r8wBB9pHsFSwY5-KI3RFkyV7J-HlNFOSp8jrIOqgmXofcSZee_AN73MbaPZJ9CkPzdepWrI4XZCV3dsA3GSs6xVYVwnfJdg._VDaPzA_QllaCV1MGJBYvZW6_6Ga1qjV70gVp4bqQLM&dib_tag=se&keywords=Moda+de+ni%C3%B1os&qid=1725878531&sr=8-2,"Kit de actividad Melissa & Doug, diseño de moda arte, 9 Platos doble cara sobar, 4 lápices, crayón",B004PBLSQ0,17.49,Sin información,200+ comprados el mes pasado,4.7,5120,https://m.media-amazon.com/images/I/81rdW2LSMVL._AC_UL320_.jpg,200.0
https://www.amazon.com/-/es/Fashion-Portfolio-incluye-plantillas-calcoman%C3%ADas/dp/B08DYZBJ67/ref=sr_1_3?dib=eyJ2IjoiMSJ9.GnNfrJdjcapoIHFDFfjRIBkvfvrasIcURZXM1Ez0-QRlhluslVhvun7Kr7qtDeRPI0gzeI1lW8NNr84qH9vccf2TM4Ic_D1mKeMXDKZBedmvjksLPr89yOB6ocbkdIG3N6ZD1rzZXL8Dsaar5gC1egexRJJRcNI4wu-q53TWnsWhf1noRTUbHOSMjaujunhDYGYchKyWt6N8r8wBB9pHsFSwY5-KI3RFkyV7J-HlNFOSp8jrIOqgmXofcSZee_AN73MbaPZJ9CkPzdepWrI4XZCV3dsA3GSs6xVYVwnfJdg._VDaPzA_QllaCV1MGJBYvZW6_6Ga1qjV70gVp4bqQLM&dib_tag=se&keywords=Moda+de+ni%C3%B1os&qid=1725878531&sr=8-3,"Fashion Angels I Love Fashion Sketch Portfolio, incluye bloc de bocetos con plantillas y calcomanías, libro de bocetos de diseño de moda para niñas, kit de dibujo ideal para niños",B08DYZBJ67,9.99,Sin información,800+ comprados el mes pasado,4.8,1797,https://m.media-amazon.com/images/I/91ezTZTsf0L._AC_UL320_.jpg,800.0
https://www.amazon.com/-/es/colorear-dise%C3%B1ador-creativo-calcoman%C3%ADas-plantillas/dp/B09FKHJSM4/ref=sr_1_4?dib=eyJ2IjoiMSJ9.GnNfrJdjcapoIHFDFfjRIBkvfvrasIcURZXM1Ez0-QRlhluslVhvun7Kr7qtDeRPI0gzeI1lW8NNr84qH9vccf2TM4Ic_D1mKeMXDKZBedmvjksLPr89yOB6ocbkdIG3N6ZD1rzZXL8Dsaar5gC1egexRJJRcNI4wu-q53TWnsWhf1noRTUbHOSMjaujunhDYGYchKyWt6N8r8wBB9pHsFSwY5-KI3RFkyV7J-HlNFOSp8jrIOqgmXofcSZee_AN73MbaPZJ9CkPzdepWrI4XZCV3dsA3GSs6xVYVwnfJdg._VDaPzA_QllaCV1MGJBYvZW6_6Ga1qjV70gVp4bqQLM&dib_tag=se&keywords=Moda+de+ni%C3%B1os&qid=1725878531&sr=8-4,"BSCOOL Libro de dibujo de estudio de moda, colorear y pequeño diseñador creativo para niños de 4 años en adelante con calcomanías, plantillas, texturas - Cuaderno de bocetos de diseño creativo de moda",B09FKHJSM4,16.99,Sin información,200+ comprados el mes pasado,4.3,37,https://m.media-amazon.com/images/I/81ZQoptJiRL._AC_UL320_.jpg,200.0
https://www.amazon.com/-/es/MINIFUN-maniqu%C3%ADes-manualidades-fabricaci%C3%B3n-juguetes/dp/B0C81FV8CQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.GnNfrJdjcapoIHFDFfjRIBkvfvrasIcURZXM1Ez0-QRlhluslVhvun7Kr7qtDeRPI0gzeI1lW8NNr84qH9vccf2TM4Ic_D1mKeMXDKZBedmvjksLPr89yOB6ocbkdIG3N6ZD1rzZXL8Dsaar5gC1egexRJJRcNI4wu-q53TWnsWhf1noRTUbHOSMjaujunhDYGYchKyWt6N8r8wBB9pHsFSwY5-KI3RFkyV7J-HlNFOSp8jrIOqgmXofcSZee_AN73MbaPZJ9CkPzdepWrI4XZCV3dsA3GSs6xVYVwnfJdg._VDaPzA_QllaCV1MGJBYvZW6_6Ga1qjV70gVp4bqQLM&dib_tag=se&keywords=Moda+de+ni%C3%B1os&qid=1725878531&sr=8-5,"Kit de diseño de moda para niñas, kit de costura con 4 maniquíes, kit de manualidades y manualidades para niños, kit de fabricación de ropa de muñecas, juguetes para niñas de 6, 7, 8, 9, 10,",B0C81FV8CQ,23.99,Sin información,600+ comprados el mes pasado,4.5,324,https://m.media-amazon.com/images/I/91Atkznv8OL._AC_UL320_.jpg,600.0
https://www.amazon.com/-/es/patrones-borrador-redise%C3%B1ar-dise%C3%B1ador-pulgadas/dp/B08FB5PRCK/ref=sr_1_6?dib=eyJ2IjoiMSJ9.GnNfrJdjcapoIHFDFfjRIBkvfvrasIcURZXM1Ez0-QRlhluslVhvun7Kr7qtDeRPI0gzeI1lW8NNr84qH9vccf2TM4Ic_D1mKeMXDKZBedmvjksLPr89yOB6ocbkdIG3N6ZD1rzZXL8Dsaar5gC1egexRJJRcNI4wu-q53TWnsWhf1noRTUbHOSMjaujunhDYGYchKyWt6N8r8wBB9pHsFSwY5-KI3RFkyV7J-HlNFOSp8jrIOqgmXofcSZee_AN73MbaPZJ9CkPzdepWrI4XZCV3dsA3GSs6xVYVwnfJdg._VDaPzA_QllaCV1MGJBYvZW6_6Ga1qjV70gVp4bqQLM&dib_tag=se&keywords=Moda+de+ni%C3%B1os&qid=1725878531&sr=8-6,"Kits de diseño de moda para niñas y niños a partir de 8 años, aprende a usar patrones de borrador y rediseñar, coser y ser un diseñador de moda para el maniquí de 8.5 pulgadas. Los mejores regalos",B08FB5PRCK,27.95,Sin información,50+ comprados el mes pasado,4.5,188,https://m.media-amazon.com/images/I/71RzCRX70mL._AC_UL320_.jpg,50.0
https://www.amazon.com/-/es/Haloumoning-Sudadera-capucha-forro-mullido/dp/B093KG6M86/ref=sr_1_7?dib=eyJ2IjoiMSJ9.GnNfrJdjcapoIHFDFfjRIBkvfvrasIcURZXM1Ez0-QRlhluslVhvun7Kr7qtDeRPI0gzeI1lW8NNr84qH9vccf2TM4Ic_D1mKeMXDKZBedmvjksLPr89yOB6ocbkdIG3N6ZD1rzZXL8Dsaar5gC1egexRJJRcNI4wu-q53TWnsWhf1noRTUbHOSMjaujunhDYGYchKyWt6N8r8wBB9pHsFSwY5-KI3RFkyV7J-HlNFOSp8jrIOqgmXofcSZee_AN73MbaPZJ9CkPzdepWrI4XZCV3dsA3GSs6xVYVwnfJdg._VDaPzA_QllaCV1MGJBYvZW6_6Ga1qjV70gVp4bqQLM&dib_tag=se&keywords=Moda+de+ni%C3%B1os&qid=1725878531&sr=8-7,Haloumoning Sudadera con capucha de forro polar mullido para niñas de 4 a 15 años,B093KG6M86,26.99,Sin información,50+ comprados el mes pasado,4.5,1561,https://m.media-amazon.com/images/I/71Bkyj4pDyS._AC_UL320_.jpg,50.0
https://www.amazon.com/-/es/Cuaderno-estilista-calcoman%C3%ADas-12544-actividades/dp/B08486P4LN/ref=sr_1_8?dib=eyJ2IjoiMSJ9.GnNfrJdjcapoIHFDFfjRIBkvfvrasIcURZXM1Ez0-QRlhluslVhvun7Kr7qtDeRPI0gzeI1lW8NNr84qH9vccf2TM4Ic_D1mKeMXDKZBedmvjksLPr89yOB6ocbkdIG3N6ZD1rzZXL8Dsaar5gC1egexRJJRcNI4wu-q53TWnsWhf1noRTUbHOSMjaujunhDYGYchKyWt6N8r8wBB9pHsFSwY5-KI3RFkyV7J-HlNFOSp8jrIOqgmXofcSZee_AN73MbaPZJ9CkPzdepWrI4XZCV3dsA3GSs6xVYVwnfJdg._VDaPzA_QllaCV1MGJBYvZW6_6Ga1qjV70gVp4bqQLM&dib_tag=se&keywords=Moda+de+ni%C3%B1os&qid=1725878531&sr=8-8,"Fashion Angels Cuaderno de estilista con calcomanías 12544, diseño de moda con libro de actividades, para niños de 6 años en adelante",B08486P4LN,11.99,Sin información,200+ comprados el mes pasado,4.8,400,https://m.media-amazon.com/images/I/91i5mwyy8dL._AC_UL320_.jpg,200.0
https://www.amazon.com/-/es/Sticker-actividades-calcoman%C3%ADas-Aprender-adelante/dp/B09FL9KRY4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.GnNfrJdjcapoIHFDFfjRIBkvfvrasIcURZXM1Ez0-QRlhluslVhvun7Kr7qtDeRPI0gzeI1lW8NNr84qH9vccf2TM4Ic_D1mKeMXDKZBedmvjksLPr89yOB6ocbkdIG3N6ZD1rzZXL8Dsaar5gC1egexRJJRcNI4wu-q53TWnsWhf1noRTUbHOSMjaujunhDYGYchKyWt6N8r8wBB9pHsFSwY5-KI3RFkyV7J-HlNFOSp8jrIOqgmXofcSZee_AN73MbaPZJ9CkPzdepWrI4XZCV3dsA3GSs6xVYVwnfJdg._VDaPzA_QllaCV1MGJBYvZW6_6Ga1qjV70gVp4bqQLM&dib_tag=se&keywords=Moda+de+ni%C3%B1os&qid=1725878531&sr=8-9,Sticker Dress Up | Libro de actividades con calcomanías para niños | Aprender diseño de moda para niñas | con calcomanías y guías | para niños de 5 años en adelante | Pequeño libro de,B09FL9KRY4,11.99,Sin información,600+ comprados el mes pasado,4.4,203,https://m.media-amazon.com/images/I/71PjvS+lMsL._AC_UL320_.jpg,600.0
https://www.amazon.com/-/es/BOUTIKOME-Sudadera-Halloween-espeluznante-botones/dp/B0C9M8K7W2/ref=sr_1_10?dib=eyJ2IjoiMSJ9.GnNfrJdjcapoIHFDFfjRIBkvfvrasIcURZXM1Ez0-QRlhluslVhvun7Kr7qtDeRPI0gzeI1lW8NNr84qH9vccf2TM4Ic_D1mKeMXDKZBedmvjksLPr89yOB6ocbkdIG3N6ZD1rzZXL8Dsaar5gC1egexRJJRcNI4wu-q53TWnsWhf1noRTUbHOSMjaujunhDYGYchKyWt6N8r8wBB9pHsFSwY5-KI3RFkyV7J-HlNFOSp8jrIOqgmXofcSZee_AN73MbaPZJ9CkPzdepWrI4XZCV3dsA3GSs6xVYVwnfJdg._VDaPzA_QllaCV1MGJBYvZW6_6Ga1qjV70gVp4bqQLM&dib_tag=se&keywords=Moda+de+ni%C3%B1os&qid=1725878531&sr=8-10,"BOUTIKOME Sudadera de Halloween para niños, bebés, niños y niñas, camisa espeluznante de manga larga, sin botones, de 6 a 12 años",B0C9M8K7W2,18.99,Sin información,Sin información,4.8,21,https://m.media-amazon.com/images/I/61szalApEbL._AC_UL320_.jpg,
